customer_id,number_of_orders,revenue,mean_check,days_from_purchase,target
,1905,1264873.6799997522,663.97568503924,1,1
12346.0,1,77183.6,77183.6,287,0
12347.0,6,4085.180000000001,680.8633333333336,1,0
12348.0,4,1797.2400000000002,449.31000000000006,37,0
12350.0,1,334.40000000000003,334.40000000000003,272,0
12352.0,7,2194.31,313.47285714285715,34,1
12353.0,1,89,89,166,0
12354.0,1,1079.4,1079.4,194,0
12355.0,1,459.4,459.4,176,0
12356.0,2,2753.080000000001,1376.5400000000004,207,1
12358.0,1,484.85999999999996,484.85999999999996,112,0
12359.0,4,6372.5800000000045,1593.1450000000011,19,0
12360.0,3,2662.0600000000018,887.3533333333339,14,0
12361.0,1,189.89999999999998,189.89999999999998,249,0
12362.0,8,4219.250000000002,527.4062500000002,4,1
12363.0,2,551.9999999999999,275.99999999999994,71,0
12364.0,3,1002.7800000000002,334.26000000000005,2,0
12365.0,2,641.38,320.69,253,0
12370.0,4,3545.6899999999982,886.4224999999996,13,0
12371.0,2,1887.9600000000003,943.9800000000001,6,0
12372.0,3,1298.0399999999997,432.6799999999999,33,0
12373.0,1,364.6,364.6,273,0
12375.0,1,230.3,230.3,60,1
12377.0,2,1628.1199999999997,814.0599999999998,277,0
12378.0,1,4008.62,4008.62,91,0
12379.0,2,852.2399999999999,426.11999999999995,43,0
12380.0,3,1684.4199999999994,561.4733333333331,18,1
12381.0,3,1279.2399999999998,426.41333333333324,20,1
12383.0,5,1850.56,370.11199999999997,146,0
12384.0,1,292.69,292.69,83,1
12386.0,2,401.9,200.95,299,0
12388.0,5,2494.259999999999,498.85199999999975,37,1
12390.0,1,549.8399999999999,549.8399999999999,41,0
12393.0,4,1582.6,395.65,34,0
12394.0,2,1272.48,636.24,25,0
12395.0,9,2246.250000000001,249.58333333333343,28,1
12397.0,1,1214.8099999999997,1214.8099999999997,97,1
12398.0,1,1635.6600000000005,1635.6600000000005,7,0
12399.0,4,1108.6500000000003,277.1625000000001,81,0
12401.0,1,84.3,84.3,265,0
12402.0,1,225.60000000000002,225.60000000000002,285,0
12403.0,1,427.70000000000005,427.70000000000005,11,0
12405.0,1,1710.39,1710.39,110,0
12406.0,1,1621.2500000000005,1621.2500000000005,145,1
12407.0,5,1708.12,341.62399999999997,11,0
12408.0,4,2134.0499999999993,533.5124999999998,60,1
12409.0,3,11072.669999999996,3690.889999999999,40,0
12410.0,2,693.33,346.665,270,0
12412.0,3,1226.88,408.96000000000004,36,0
12413.0,3,758.1000000000003,252.70000000000007,28,0
12414.0,3,562.41,187.47,179,0
12415.0,17,118559.6499999998,6974.097058823518,27,1
12417.0,8,3279.369999999999,409.9212499999999,1,1
12418.0,1,668.5799999999998,668.5799999999998,74,0
12420.0,1,600.3900000000001,600.3900000000001,25,0
12421.0,3,628.56,209.51999999999998,76,1
12422.0,3,803.5599999999997,267.85333333333324,57,0
12423.0,7,1650.67,235.81,62,0
12424.0,2,1760.9599999999998,880.4799999999999,124,0
12425.0,1,777.1999999999999,777.1999999999999,40,0
12426.0,1,582.73,582.73,156,0
12427.0,2,586.08,293.04,22,1
12428.0,8,7548.120000000006,943.5150000000008,82,1
12429.0,3,2844.8799999999997,948.2933333333332,134,1
12430.0,1,256.40000000000003,256.40000000000003,5,0
12431.0,14,5886.010000000002,420.42928571428587,22,1
12432.0,5,5059.320000000001,1011.8640000000001,4,0
12433.0,4,7893.889999999996,1973.472499999999,5,1
12434.0,2,806.1399999999995,403.06999999999977,46,0
12435.0,2,7829.89,3914.945,41,0
12436.0,1,509.01000000000005,509.01000000000005,61,0
12437.0,13,3297.4699999999984,253.65153846153834,5,1
12438.0,1,890.0699999999998,890.0699999999998,102,1
12441.0,1,173.55,173.55,328,0
12444.0,4,4068.82,1017.205,20,1
12446.0,1,1002.3099999999998,1002.3099999999998,19,0
12447.0,1,476.49,476.49,205,0
12448.0,1,449.45000000000005,449.45000000000005,6,0
12449.0,3,2724.5800000000013,908.1933333333337,53,1
12450.0,2,197.88,98.94,118,0
12451.0,3,7847.3799999999965,2615.793333333332,27,1
12453.0,1,707.09,707.09,96,0
12454.0,1,3528.3400000000006,3528.3400000000006,18,0
12455.0,6,2466.8600000000015,411.1433333333336,35,0
12456.0,3,3181.0399999999995,1060.3466666666666,6,0
12457.0,7,2363.2300000000005,337.60428571428577,28,0
12458.0,2,947.4000000000002,473.7000000000001,33,0
12461.0,2,826.88,413.44,56,0
12462.0,1,762.1100000000001,762.1100000000001,265,1
12463.0,4,1344.78,336.195,15,0
12464.0,6,780.55,130.09166666666667,68,1
12465.0,1,440.94,440.94,131,1
12468.0,2,729.54,364.77,149,0
12471.0,23,14165.539999999988,615.8930434782603,27,1
12472.0,6,6304.03,1050.6716666666666,13,1
12473.0,3,2884.2299999999996,961.4099999999999,15,1
12474.0,16,6197.0599999999995,387.31624999999997,12,1
12475.0,1,723.38,723.38,15,0
12476.0,9,4822.430000000002,535.8255555555558,7,1
12477.0,5,11182.050000000016,2236.410000000003,18,1
12480.0,3,2144.949999999999,714.983333333333,105,1
12481.0,9,5409.520000000001,601.0577777777779,27,1
12483.0,7,2078.260000000001,296.8942857142859,2,1
12484.0,4,3663.150000000001,915.7875000000003,62,1
12488.0,2,767.4500000000002,383.7250000000001,1,1
12489.0,1,334.93,334.93,298,0
12490.0,6,3552.589999999998,592.098333333333,55,1
12492.0,2,263.21000000000004,131.60500000000002,25,0
12493.0,2,433.74,216.87,127,0
12494.0,6,1083.6000000000006,180.6000000000001,2,1
12497.0,1,1043.1,1043.1,43,0
12498.0,1,247.25,247.25,19,1
12500.0,10,3640.78,364.07800000000003,11,1
12501.0,1,2169.3900000000003,2169.3900000000003,298,0
12502.0,5,3723.8700000000003,744.7740000000001,57,0
12506.0,1,73.50000000000003,73.50000000000003,194,0
12507.0,3,1304.81,434.93666666666667,96,0
12509.0,1,176.5,176.5,246,0
12510.0,2,982.57,491.285,104,0
12512.0,2,138.02999999999997,69.01499999999999,28,0
12513.0,1,612.29,612.29,74,0
12514.0,1,1017.6800000000001,1017.6800000000001,229,0
12515.0,1,383.69999999999993,383.69999999999993,315,0
12516.0,2,1312.0600000000002,656.0300000000001,39,0
12517.0,3,1955.8999999999996,651.9666666666666,35,1
12518.0,3,1230.7900000000002,410.2633333333334,20,1
12519.0,1,340.84000000000003,340.84000000000003,25,0
12520.0,5,2634.259999999997,526.8519999999994,41,0
12521.0,1,599.6800000000001,599.6800000000001,104,0
